R,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
400.0,Inf,Inf,Inf,0.001695,0.0005117,0.0001467,4.141e-5,1.157e-5,3.209e-6,8.85e-7,2.43,6.645e-8,1.812e-8,4.926e-9,1.336e-9,3.616e-10,9.771e-11,2.636e-11,7.099e-12,1.91e-12,5.132e-13,1.377e-13,3.693e-14,9.895e-15,2.649e-15,7.087e-16,1.896e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
500.0,Inf,Inf,Inf,0.0017,0.0005517,0.0001649,4.842e-5,1.407e-5,4.061e-6,1.165e-6,3.326,9.463e-8,2.683e-8,7.587e-9,2.14e-9,6.025e-10,1.693e-10,4.75e-11,1.331e-11,3.723e-12,1.04e-12,2.905e-13,8.101e-14,2.278e-14,6.284e-15,1.749e-15,4.863e-16,1.353e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
600.0,Inf,Inf,Inf,Inf,0.0005811,0.0001795,5.438e-5,1.63e-5,4.848e-6,1.434e-6,4.221,1.238e-7,3.618e-8,1.055e-8,3.067e-9,8.902e-10,2.579e-10,7.459e-11,2.154e-11,6.213e-12,1.79e-12,5.151e-13,1.481e-13,4.254e-14,1.221e-14,3.501e-15,1.003e-15,2.876e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
700.0,Inf,Inf,Inf,Inf,0.0006031,0.0001915,5.952e-5,1.829e-5,5.577e-6,1.691e-6,5.101,1.533e-7,4.594e-8,1.372e-8,4.091e-9,1.217e-9,3.613e-10,1.071e-10,3.17e-11,9.371e-12,2.767e-12,8.162e-13,2.405e-13,7.08e-14,2.083e-14,6.122e-15,1.798e-15,5.28e-16,1.734e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
800.0,Inf,Inf,Inf,Inf,0.0006193,0.0002016,6.401e-5,2.008e-5,6.252e-6,1.935e-6,5.96,1.829e-7,5.593e-8,1.706e-8,5.19e-9,1.576e-9,4.776e-10,1.445e-10,4.367e-11,1.318e-11,3.972e-12,1.196e-12,3.597e-13,1.081e-13,3.246e-14,9.739e-15,2.92e-15,8.751e-16,2.623e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
900.0,Inf,Inf,Inf,Inf,0.0006309,0.0002102,6.799e-5,2.172e-5,6.881e-6,2.167e-6,6.795,2.122e-7,6.605e-8,2.05e-8,6.349e-9,1.962e-9,6.052e-10,1.864e-10,5.732e-11,1.76e-11,5.4e-12,1.655e-12,5.065e-13,1.549e-13,4.734e-14,1.446e-14,4.412e-15,1.346e-15,4.102e-16,1.251e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1000.0,Inf,Inf,Inf,Inf,0.0006385,0.0002177,7.153e-5,2.321e-5,7.468e-6,2.389e-6,7.605,2.412e-7,7.623e-8,2.403e-8,7.555e-9,2.371e-9,7.426e-10,2.322e-10,7.251e-11,2.261e-11,7.044e-12,2.192e-12,6.813e-13,2.116e-13,6.566e-14,2.036e-14,6.309e-15,1.954e-15,6.048e-16,1.872e-16,6.218e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
2000.0,Inf,Inf,Inf,Inf,0.0006428,0.000257,9.365e-5,3.341e-5,1.18e-5,4.14e-6,1.445,5.025e-7,1.741e-7,6.017e-8,2.074e-8,7.134e-9,2.45e-9,8.396e-10,2.874e-10,9.824e-11,3.354e-11,1.144e-11,3.898e-12,1.327e-12,4.514e-13,1.534e-13,5.21e-14,1.769e-14,5.999e-15,2.034e-15,6.893e-16,2.336e-16,7.931e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
3000.0,Inf,Inf,Inf,Inf,Inf,0.0002646,0.0001047,3.926e-5,1.456e-5,5.36e-6,1.963,7.157e-7,2.601e-7,9.426e-8,3.407e-8,1.229e-8,4.425e-9,1.59e-9,5.708e-10,2.046e-10,7.325e-11,2.62e-11,9.359e-12,3.341e-12,1.192e-12,4.246e-13,1.512e-13,5.382e-14,1.914e-14,6.805e-15,2.418e-15,8.588e-16,3.05e-16,1.083e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
4000.0,Inf,Inf,Inf,Inf,Inf,Inf,0.000111,4.316e-5,1.654e-5,6.284e-6,2.375,8.936e-7,3.351e-7,1.253e-7,4.673e-8,1.739e-8,6.461e-9,2.396e-9,8.873e-10,3.281e-10,1.212e-10,4.472e-11,1.648e-11,6.071e-12,2.234e-12,8.214e-13,3.018e-13,1.108e-13,4.067e-14,1.492e-14,5.468e-15,2.003e-15,7.338e-16,2.687e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
5000.0,Inf,Inf,Inf,Inf,Inf,Inf,0.0001146,4.596e-5,1.804e-5,7.02e-6,2.715,1.046e-6,4.013e-7,1.536e-7,5.861e-8,2.232e-8,8.484e-9,3.22e-9,1.22e-9,4.617e-10,1.745e-10,6.588e-11,2.485e-11,9.364e-12,3.526e-12,1.327e-12,4.987e-13,1.874e-13,7.036e-14,2.641e-14,9.905e-15,3.713e-15,1.392e-15,5.213e-16,1.954e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6000.0,Inf,Inf,Inf,Inf,Inf,Inf,0.0001162,4.807e-5,1.923e-5,7.626e-6,3.004,1.178e-6,4.604e-7,1.794e-7,6.972e-8,2.704e-8,1.046e-8,4.043e-9,1.56e-9,6.011e-10,2.313e-10,8.892e-11,3.415e-11,1.31e-11,5.023e-12,1.924e-12,7.367e-13,2.818e-13,1.077e-13,4.117e-14,1.572e-14,6.002e-15,2.29e-15,8.735e-16,3.332e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7000.0,Inf,Inf,Inf,Inf,Inf,Inf,0.0001163,4.969e-5,2.021e-5,8.137e-6,3.254,1.295e-6,5.138e-7,2.032e-7,8.014e-8,3.154e-8,1.239e-8,4.858e-9,1.902e-9,7.438e-10,2.905e-10,1.133e-10,4.417e-11,1.72e-11,6.692e-12,2.602e-12,1.011e-12,3.924e-13,1.522e-13,5.904e-14,2.288e-14,8.864e-15,3.432e-15,1.328e-15,5.141e-16,9.89e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
8000.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.096e-5,2.103e-5,8.576e-6,3.474,1.4e-6,5.624e-7,2.252e-7,8.993e-8,3.584e-8,1.425e-8,5.659e-9,2.244e-9,8.883e-10,3.513e-10,1.388e-10,5.475e-11,2.159e-11,8.504e-12,3.347e-12,1.317e-12,5.175e-13,2.033e-13,7.983e-14,3.132e-14,1.229e-14,4.817e-15,1.887e-15,7.394e-16,1.898e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
9000.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.195e-5,2.172e-5,8.958e-6,3.669,1.495e-6,6.07e-7,2.457e-7,9.917e-8,3.995e-8,1.606e-8,6.445e-9,2.582e-9,1.033e-9,4.131e-10,1.649e-10,6.578e-11,2.621e-11,1.044e-11,4.152e-12,1.651e-12,6.559e-13,2.604e-13,1.033e-13,4.099e-14,1.625e-14,6.439e-15,2.55e-15,1.01e-15,2.996e-16,1.582e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
10000.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.271e-5,2.232e-5,9.296e-6,3.844,1.582e-6,6.481e-7,2.648e-7,1.079e-7,4.388e-8,1.78e-8,7.213e-9,2.918e-9,1.179e-9,4.755e-10,1.916e-10,7.715e-11,3.103e-11,1.247e-11,5.009e-12,2.01e-12,8.061e-13,3.231e-13,1.294e-13,5.181e-14,2.073e-14,8.292e-15,3.315e-15,1.325e-15,4.294e-16,2.117e-16,8.451e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
20000.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.392e-5,2.546e-5,1.133e-5,4.975,2.171e-6,9.429e-7,4.081e-7,1.762e-7,7.587e-8,3.261e-8,1.399e-8,5.993e-9,2.564e-9,1.095e-9,4.674e-10,1.993e-10,8.488e-11,3.612e-11,1.536e-11,6.528e-12,2.772e-12,1.176e-12,4.99e-13,2.115e-13,8.963e-14,3.796e-14,1.607e-14,6.8e-15,1.876e-15,1.216e-15,5.142e-16,2.173e-16,9.189e-17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
30000.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.611e-5,1.23e-5,5.583,2.514e-6,1.127e-6,5.029e-7,2.238e-7,9.939e-8,4.404e-8,1.948e-8,8.602e-9,3.793e-9,1.671e-9,7.35e-10,3.23e-10,1.418e-10,6.222e-11,2.727e-11,1.195e-11,5.229e-12,2.288e-12,1.0e-12,4.37e-13,1.909e-13,8.333e-14,3.636e-14,1.586e-14,5.915e-15,3.014e-15,1.313e-15,5.72e-16,2.491e-16,1.086e-16,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
